"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
8.822,"W4DEX","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tg","35.2708","-80.375","","http://w4dex.com/vlf/8822hz_dec14/","IL","1","2014-12-18","2014-12-18"
11.905,"","Other","Y","","1045","","","No ID","","RSE","as","","","","","RSDN-20/Alpha navigation system","OH","1","2020-05-10","2020-05-10"
12.091,"NONE","Other","Y","","","","","RSDN-20/ALPHA - REVDA","","RUS","eu","KP78ia","68.0208","34.7083","","","ITA  POL  SVN  SWE  IL","6","2010-11-06","2021-02-27"
14.881,"NONE","Other","Y","","","","","RSDN-20/ALPHA","","RUS","eu","","","","","1 + 2 pulses","CZE  DEU  ENG  ESP  FRA  GRC  ITA  POL  SVN  SWE  NW  TA  IL","23","2004-10-21","2021-11-01"
15.1,"?","Other","Y","","","","","UNID","","XUU","xx","","","","","","IL","1","2011-02-09","2011-02-09"
16,"?","Other","Y","","","","","UNID","","XUU","xx","","","","","FSK","GRC  IL","2","2010-04-04","2011-02-09"
16.4,"JXN","Other","Y","","","","","Navy Noviken / Helgeland","","NOR","eu","JP66mk","66.4375","13.0417","","FSK 100/45 MSK 200/200 encrypted","GRC  POL  SVN  TA  BRA  IL","10","2004-10-20","2021-02-11"
17,"VTX2","Other","Y","","","","","Indian Navy/Vijayanarayanam","","IND","as","MJ88uk","8.4375","77.7083","","MSK","GRC  IL","3","2010-04-07","2011-11-01"
17.2,"SAQ","Other","Y","","","","","Grimeton","","SWE","eu","JO67ec","57.1042","12.375","200000","On Sunday September 25th 2005 there will be transmissions on VLF 17.2 kHz with the Alexanderson alternator at 09:30 UTC and 12:30 UTC. The station will be open to visitors and there will also be a \''flea market\'' with surplus from Grimeton Radio and The Radio Museum in Gothenburg. (Info via Lennart Deimert)

VLF Historically preserved station (a UNESCO World Heritage Object) with Anderson Generator used as transmitter.   Transmits at 15 minutes past each hour when on the air, by arrangement.
Web sites: http://www.alexander.n.se/ http://www.antiquewireless.org/otb/alexalt1004.htm http://www.wireless.org.uk/mechrx.htm
Thanks to Bo who visited and obtained exact location (2005-08-02)","CZE  DEU  ENG  ESP  FIN  FRA  GRC  HOL  IRL  ITA  NOR  POL  SCT  SVN  TA  IL","42","2005-07-02","2021-12-27"
18.1,"RDL","Other","Y","","","","","Several TX","","RUS","eu","","","","","","GRC  POL  SVN  TA  BRA  IL","12","2004-09-28","2021-02-11"
18.3,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06or","46.7292","1.2083","","","GRC  POL  SVN  TA  BRA  IL","7","2001-01-12","2019-12-07"
19.2,"VTX4","Other","Y","","","","","Indian Navy/Vijayanarayanam","","IND","as","MJ88uk","8.4375","77.7083","","","TA  IL","3","2010-12-02","2017-01-18"
19.6,"GQD","Other","Y","","","","","Anthorn, Cumbria","","ENG","eu","IO85ga","55.0208","-3.4583","","","GRC  POL  SVN  BRA  IL","8","2004-10-10","2021-02-11"
20.2,"JJI","Other","Y","","","","","Japanese Navy, Ebino","","JPN","as","PM52jb","32.0625","130.792","","","GRC  IL","3","2008-08-21","2009-11-29"
20.27,"ICV","Other","Y","","","","","Isola di Tavolara","","SAR","eu","JN40uw","40.9375","9.7083","","FSK 200/85","GRC  POL  SVN  TA  BRA  IL","11","2002-06-07","2021-02-11"
20.5,"BETA","Other","Y","","","","","RJH63","","RSE","as","","","","","","TA  IL","2","2009-11-21","2017-01-18"
20.9,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06mo","46.6042","1.0417","","French Navy, MSK signal","GRC  POL  BRA  IL  NB","9","2001-03-10","2021-02-11"
21.1,"RDL","Other","Y","","","","","Several TX","","RUS","eu","","","","","","GRC  POL  SVN  TA  BRA  IL","10","2004-10-19","2021-02-11"
21.1,"RJS","Other","Y","","","","","Vladivostok","","RSE","as","PN53wd","43.1458","131.875","","F1B 100 Hz","GRC  IL","2","2009-11-25","2010-04-12"
21.4,"NPM","Other","Y","","","","","Lualualei / Hawaii","","HWA","oc","BL01wk","21.4375","-158.125","","MSK","GRC  POL  SVN  TA  BRA  ON","10","2008-09-25","2022-10-21"
21.75,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06or","46.7292","1.2083","","","GRC  POL  TA  BRA  IL","10","2008-08-20","2021-02-11"
22.1,"GBZ","Other","Y","","","","","Skelton","","ENG","eu","","","","","","BRA  IL","3","2009-05-22","2021-02-11"
22.6,"HWU","Other","Y","","","","","Le Blanc (Rosnay)","","FRA","eu","JN06or","46.7292","1.2083","","","GRC  IL","2","2004-09-30","2009-06-27"
23.4,"DHO38","Other","Y","","","","","German Navy - Rhauderfehn","","DEU","eu","JO33tb","53.0625","7.625","","CW/MSK","GRC  POL  SVN  TA  BRA  IL","12","2001-03-10","2021-02-11"
24,"NAA","Other","Y","","","","","Cutler","ME","USA","na","FN64ip","44.6458","-67.2917","1000000","US Navy, MSK signal","GRC  POL  SVN  TA  BRA  NB  ON","14","2002-06-07","2022-10-21"
25.2,"NML","Other","Y","","","","","Lamoure","ND","USA","na","EN06ui","46.3542","-98.2917","","US Navy; MSK signal. output stated as 500kW","GRC  POL  SVN  TA  BRA  IL  NB  ON","13","2004-10-03","2022-10-21"
26,"?","Other","Y","","","","","UNID","","XUU","xx","","","","","MSK","GRC  POL  IL","3","2010-04-08","2012-01-01"
26.7,"TBB","Other","Y","","","","","Turkish Navy, Bafa","","TUR","as","KM37sl","37.4792","27.5417","","MSK/ FSK +/- 25Hz","GRC  POL  SVN  TA  IL","6","2008-07-26","2021-08-01"
29.4,"WH2XBA/1","Ham","Y","","","","","Penn Yan","NY","USA","na","FN12lq","42.6875","-77.0417","","op-W2ZM","IL","1","2014-02-28","2014-02-28"
29.7,"4X4","Other","Y","","","","","UNID","","XUA","xx","","","","","","IL","1","2015-01-13","2015-01-13"
37.5,"NRK","Other","Y","","","","","Grindavik","","ISL","eu","","","","100000","US Navy; 200bps encyrpted MSK","BRA  IL  NB","3","2004-10-03","2018-08-27"
40,"JJY","Time","Y","","","Cont","","Mount Ohtakadoya","","JPN","as","QM07ki","37.3542","140.875","50000","CW IDent H+15'40 H+45'40","CZE  DEU  FIN  FRA  GRC  SVN  NN  NW  SA  TA  VI  AZ  CA  IL  OR  UT","50","2002-01-24","2021-11-20"
40.75,"NAU","Other","Y","","","","","Aguada","PR","PTR","ca","","","","100000","US Navy; FIB MSK Signal","BRA  IL  NB  ON","8","2001-01-13","2022-10-21"
42.5,"SRC","Other","Y","","","","","Swedish Navy Varberg ?","","SWE","eu","","","","","MSK 200/79","GRC  POL  IL","4","2008-10-05","2015-12-24"
44.2,"SRC","Other","Y","","","","","Karlsbrorg","","SWE","eu","JO78fl","58.4792","14.4583","","","GRC  POL  SVN  IL","5","2008-08-20","2015-12-24"
45.5,"WH2XBA/4","Ham","Y","","","","","Stanfield","NC","USA","na","EM95tg","35.2708","-80.375","","op-W4DEX","IL","1","2014-02-28","2014-02-28"
45.9,"NSY","Other","Y","","","","","Niscemy","","ITA","eu","JM77fc","37.1042","14.4583","","US Navy; 200bps encyrpted MSK","GRC  POL  SVN  TA  BRA  IL  NB","12","2001-01-13","2021-08-01"
51.95,"GNY1","Other","Y","","","","","Thurso","","SCT","eu","","","","","UK Royal Navy; F1B 85Hz shift 50bps encypted signal","IL  NB","2","2004-10-03","2008-06-30"
51.95,"GYW1","Other","Y","","","","","Crimond","","SCT","eu","","","","","F1B 85 Hz shift / 50 Bd, encrypted traffic","GRC  POL  SVN  IL","4","2008-08-23","2020-10-15"
54,"NDI","Other","Y","","","","","US Navy NRTF / Awase, Okinawa","","RYI","as","PL36wh","26.3125","127.875","","FKS/MSK - U.S. Navy submarine broadcast station","GRC  POL  IL","3","2010-04-06","2013-10-12"
